ID,Description,Code,MerchantID,Countries,Exclusions,StartDate,EndDate,Disabled,len_description
1245524,"Looking for a new EDC Pocket Knife? We have over 30,000 models to choose from.",freedom,5479385,US,,2019-07-24T00:00:00Z,2037-12-31T00:00:00Z,FALSE,78
1305873,Get $5 OFF AOMEI Backupper Professiona + Lifetime Free Upgrades.,,116394,US,,2019-06-28T03:26:19Z,3000-01-04T00:00:00Z,FALSE,64
1305874,Get $5 OFF AOMEI Partition Assistant Professional + Lifetime Free Upgrades.,,116394,US,,2019-06-28T03:37:03Z,3000-01-04T00:00:00Z,FALSE,75
1305875,Get $200 off AOMEI OneKey Recovery Customization.,,116394,US,,2019-07-09T10:21:12Z,3000-01-04T00:00:00Z,FALSE,49
1305876,"Get $100 off AOMEI OneKey Recovery Technician, only $499.",,116394,US,,2019-07-09T10:23:42Z,3000-01-04T00:00:00Z,FALSE,57
1305877,$70 off AOMEI OneKey Recovery Professional (Family License). Family License can be used on up to 4 computers.,,116394,US,,2019-07-09T10:28:30Z,3000-01-04T00:00:00Z,FALSE,109
1305878,Get $10 off AOMEI OneKey Recovery Professional (Single License). Single License can be used on 1 computer.,,116394,US,,2019-07-09T10:30:46Z,3000-01-04T00:00:00Z,FALSE,106
2468827,Use Code DAD15 to get 15% off sitewide.,DAD15,6768,US,,2022-06-15T23:26:00Z,3000-01-04T00:00:00Z,FALSE,39
2468828,Use Code DAD15 to get 15% off sitewide.,DAD15,6768,US,,2022-06-15T23:26:20Z,3000-01-04T00:00:00Z,FALSE,39
1241759,Save 15% off order total on ezup.com.,EZSAVE15,5519932,US,no,2017-06-05T00:00:00Z,3000-01-04T00:00:00Z,FALSE,37
1241760,Save 10% off order total on ezup.com.,EZSAVE10,5519932,US,no,2017-06-05T00:00:00Z,3000-01-04T00:00:00Z,FALSE,37
2561873,Adventure Awaits! Save over 40%on Camping Products. Your Instant Shelter® Canopy is instant transformed into a camping oasis with the addition of a Camping Cube tent.,,5519932,US,no,2022-07-22T00:00:00Z,3000-01-04T00:00:00Z,FALSE,167
1241756,Save $40 off purchase of Pyramid Shelter on ezup.com.,SAVE40PR,5519932,US,no,2017-06-05T00:00:00Z,3000-01-04T00:00:00Z,FALSE,53
1241757,Save $25 off order total on ezup.com.,SAVE25,5519932,US,no,2017-06-05T00:00:00Z,3000-01-04T00:00:00Z,FALSE,37
1241758,Save 10% off Pyramid shelter on ezup.com.,EZSAVE10PR,5519932,US,no,2017-06-05T00:00:00Z,3000-01-04T00:00:00Z,FALSE,41
1245821,"Surfshark VPN Holidays deal: 2 years +1 month free! (84% off, $1.91/month). Secure your Holidays now.",holidays19,8749,US,,2019-12-18T00:00:00Z,2037-12-31T00:00:00Z,FALSE,101
1245813,83% off Black Friday deal ends on 11/30! Surfshark VPN subscription for just $1.99/mo. Get the deal.,blackshark,8749,US,,2018-11-06T00:00:00Z,2037-12-31T00:00:00Z,FALSE,100
1245814,75% off Cyber Month deal ends on 11/30! Surfshark VPN subscription for just $2.99/mo charged annually $36.,sharkyear,8749,US,,2018-11-09T00:00:00Z,2037-12-31T00:00:00Z,FALSE,106
1245815,"This Xmas, save on VPN & donate to clean the oceans!
$1.99/mo deal + we match all donations.",sharkxmas,8749,US,,2018-12-07T00:00:00Z,2037-12-31T00:00:00Z,FALSE,92
1245816,Grab your jaw-dropping VPN deal $1.99/mo.,sharkextra,8749,US,,2019-01-03T00:00:00Z,2037-12-31T00:00:00Z,FALSE,41
1245817,Surfshark VPN deal - 2 year plan 83% Off (Unlimited Devices) $1.99/mo.,sharkextra,8749,US,,2019-01-21T00:00:00Z,2037-09-30T00:00:00Z,FALSE,70
1245818,Grab your job-dropping VPN deal - 2 years plan 83% Off (Unlimited Devices) $1.99/mo.,needshark,8749,US,,2019-02-27T00:00:00Z,2037-12-31T00:00:00Z,FALSE,84
1245819,Get secret Surfshark VPN deal - 1 years plan 75% Off (Unlimited Devices) $3.00/mo.,secretshark,8749,US,,2019-03-08T00:00:00Z,2037-12-31T00:00:00Z,FALSE,82
1245820,"Surfshark VPN 2-year deal for $1.99/mo, 83% Off (Unlimited devices, unrestricted content).",vipoffer,8749,US,,2019-04-04T00:00:00Z,2037-09-30T00:00:00Z,FALSE,90
1246297,"HERO9 Black. More pixels, more screens, more battery life. More everything. Shop now at GoPro.com.",,5519673,US,no,2020-11-12T00:00:00Z,3000-01-04T00:00:00Z,FALSE,98
1246298,Obtain a bonus SD card with every camera. Shop now at GoPro.com.,,5519673,US,no,2020-11-12T00:00:00Z,3000-01-04T00:00:00Z,FALSE,64
1246299,Enjoy free 2-day shipping on all orders over $50 at GoPro.com.,,5519673,US,no,2020-11-12T00:00:00Z,3000-01-04T00:00:00Z,FALSE,62
2690760,Save 15% off your next KONIG Safe.,konig2a,127534,US,,2022-07-27T00:00:00Z,2037-12-31T00:00:00Z,FALSE,34
2690761,25% Off Any KONIG Safe.,konig25,127534,US,,2022-08-19T00:00:00Z,2037-12-31T00:00:00Z,FALSE,23
3076527,"FleetFeet.com - Save up to 50% on Clearance Running Shoes, Shirts, Sports Bras and More.",,5477816,US,,2020-08-19T00:00:00Z,2026-08-18T00:00:00Z,FALSE,88
3076528,"Shop Our Best Selling Women's Running Shoes at FleetFeet.com! Enjoy Our 60 Day Guarantee, Free Shipping and Free Returns.",,5477816,US,,2020-08-19T00:00:00Z,2026-08-18T00:00:00Z,FALSE,121
3076529,"FleetFeet.com - Free Shipping, Free Returns and A 60 Day Satisfaction Guarantee.",,5477816,US,,2020-08-19T00:00:00Z,2026-08-18T00:00:00Z,FALSE,80
